,city,state,20th_x,40th_x,Median_x,60th_x,80th_x,95th_x,Unnamed: 0.1,20th_y,40th_y,Median_y,60th_y,80th_y,95th_y,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
93,Spokane,Washington,21291.0,39519.0,50550.0,62544.0,97062.0,169655.0,873,17723,33690,43274,53942,86698,157515,0.4095530803715857,0.7785275222997643,1.2465221611129085,2.0034662846050746,3.63994546378888,6.0,2.8,238.0,109.6,229.0,105.5,887.0,408.6,2221.0,1023.2,11739.0,5408.0,1737.0,800.2,50.0,23.0,558.6,148364.0
94,Yakima,Washington,21255.0,37240.0,45700.0,55568.0,85687.0,149213.0,877,18236,32729,40951,50048,80069,137824,0.44531269077678204,0.7992234621865156,1.2221435373983542,1.9552391882982099,3.365583258040097,13.0,13.8,70.0,74.2,150.0,158.9,360.0,381.5,901.0,954.7,2841.0,3010.3,564.0,597.6,15.0,15.9,445.9,127958.0
95,Kenosha,Wisconsin,23106.0,44621.0,56086.0,69685.0,105673.0,176997.0,886,20090,37519,49636,61255,95483,157192,0.40474655491981626,0.7558828269804174,1.2340841324844871,1.9236642759287612,3.166894995567733,5.0,5.0,61.0,61.2,116.0,116.4,219.0,219.7,337.0,338.1,1392.0,1396.6,76.0,76.3,5.0,5.0,223.5,153891.0
96,Manitowoc,Wisconsin,23429.0,40092.0,49613.0,61303.0,91974.0,143749.0,888,20388,34688,41628,51080,82208,129824,0.4897665033150764,0.8332852887479582,1.2270587104833286,1.9748246372633804,3.1186701258768137,0.0,0.0,8.0,24.4,14.0,42.7,78.0,237.7,164.0,499.8,719.0,2191.2,30.0,91.4,0.0,0.0,209.8,120320.0
97,Milwaukee,Wisconsin,17854.0,34923.0,45263.0,56854.0,91252.0,161124.0,894,14513,28774,36801,47286,76339,133718,0.3943642835792506,0.7818809271487188,1.284910736121301,2.074372978995136,3.6335425667780767,118.0,19.8,434.0,72.9,2919.0,490.4,6036.0,1014.2,5518.0,927.1,11548.0,1940.3,5503.0,924.6,313.0,52.6,664.4,143270.0
98,Racine,Wisconsin,24968.0,45825.0,56359.0,69665.0,105788.0,177369.0,900,17569,31973,41178,51988,79623,128800,0.4266598669192287,0.776458302977318,1.2625188207295155,1.9336296080431297,3.12788382145806,1.0,1.3,61.0,78.8,122.0,157.7,336.0,434.3,417.0,539.0,1216.0,1571.6,129.0,166.7,13.0,16.8,313.7,152401.0
99,Sheboygan,Wisconsin,25530.0,44551.0,54392.0,65670.0,98033.0,158466.0,901,20765,36022,44406,53293,77971,117944,0.4676169886952214,0.8111966851326398,1.2001306129802278,1.7558663243705803,2.6560374724136384,0.0,0.0,40.0,82.3,12.0,24.7,109.0,224.3,90.0,185.2,698.0,1436.4,33.0,67.9,12.0,24.7,194.0,132936.0
100,Waukesha,Wisconsin,35602.0,62879.0,78268.0,94725.0,139340.0,250001.0,904,25619,48492,59866,73655,110772,177554,0.4279390639093977,0.8100090201449904,1.230331072729095,1.8503324090468716,2.9658570808138176,0.0,0.0,43.0,59.3,25.0,34.5,51.0,70.3,126.0,173.6,845.0,1164.5,36.0,49.6,2.0,2.8,134.5,214399.0
101,Laramie,Wyoming,27610.0,49809.0,61201.0,75372.0,110704.0,170124.0,916,14168,28259,40240,50517,85241,149457,0.3520874751491054,0.7022614314115309,1.2553926441351888,2.1183151093439365,3.7141401590457255,0.0,0.0,12.0,36.8,3.0,9.2,15.0,46.0,64.0,196.1,365.0,1118.5,20.0,61.3,4.0,12.3,104.7,142514.0
102,Sheridan,Wyoming,23361.0,42779.0,53914.0,66578.0,102402.0,160840.0,921,20786,37456,48804,61526,95356,152329,0.4259077124825834,0.7674780755675764,1.2606753544791411,1.953856241291697,3.121240062289976,0.0,0.0,0.0,0.0,0.0,0.0,8.0,44.4,52.0,288.3,285.0,1580.2,20.0,110.9,2.0,11.1,101.1,137479.0
